Base License Number,Base Name,DBA,Total Dispatched Trips
UBER,UBER,UBER,"10,194,413"
UBER,UBER,UBER,"14,396,737"
UBER,UBER,UBER,"2,816,572"
UBER,UBER,UBER,"15,876,062"
UBER,UBER,UBER,"4,359,759"
UBER,UBER,UBER,"8,847,755"
UBER,UBER,UBER,"14,509,882"
UBER,UBER,UBER,"15,610,941"
UBER,UBER,UBER,"14,060,879"
UBER,UBER,UBER,"10,553,474"
UBER,UBER,UBER,"8,181,383"
UBER,UBER,UBER,"10,747,390"
UBER,UBER,UBER,"8,704,128"
UBER,UBER,UBER,"16,184,069"
UBER,UBER,UBER,"14,042,889"
UBER,UBER,UBER,"5,114,308"
UBER,UBER,UBER,"7,736,951"
UBER,UBER,UBER,"6,481,751"
UBER,UBER,UBER,"13,503,042"
UBER,UBER,UBER,"8,641,724"
UBER,UBER,UBER,"8,794,695"
UBER,UBER,UBER,"5,391,879"
UBER,UBER,UBER,"1,871,075"
UBER,UBER,UBER,"15,743,610"
UBER,UBER,UBER,"13,925,893"
UBER,UBER,UBER,"11,506,356"
UBER,UBER,UBER,"3,316,381"
UBER,UBER,UBER,"2,178,305"
UBER,UBER,UBER,"10,808,415"
UBER,UBER,UBER,"4,359,377"
UBER,UBER,UBER,"14,554,993"
UBER,UBER,UBER,"9,797,775"
UBER,UBER,UBER,"10,693,287"
UBER,UBER,UBER,"13,964,765"
UBER,UBER,UBER,"8,290,758"
UBER,UBER,UBER,"7,081,522"
UBER,UBER,UBER,"13,462,091"
UBER,UBER,UBER,"4,301,254"
UBER,UBER,UBER,"8,898,156"
UBER,UBER,UBER,"8,486,416"
UBER,UBER,UBER,"4,949,743"
UBER,UBER,UBER,"3,107,558"
UBER,UBER,UBER,"2,280,332"
UBER,UBER,UBER,"5,358,138"
UBER,UBER,UBER,"5,103,751"
UBER,UBER,UBER,"8,992,847"
UBER,UBER,UBER,"14,999,895"
UBER,UBER,UBER,"9,836,781"
UBER,UBER,UBER,"9,525,248"
UBER,UBER,UBER,"6,973,356"
UBER,UBER,UBER,"15,657,427"
UBER,UBER,UBER,"3,102,835"
UBER,UBER,UBER,"7,880,513"
UBER,UBER,UBER,"16,105,602"
UBER,UBER,UBER,"5,893,649"
UBER,UBER,UBER,"11,671,765"
UBER,UBER,UBER,"17,247,995"
UBER,UBER,UBER,"2,259,575"
UBER,UBER,UBER,"8,375,281"
UBER,UBER,UBER,"7,007,436"
UBER,UBER,UBER,"10,173,376"
UBER,UBER,UBER,"7,244,518"
UBER,UBER,UBER,"4,343,828"
UBER,UBER,UBER,"10,135,304"
UBER,UBER,UBER,"11,836,385"
UBER,UBER,UBER,"1,854,691"
UBER,UBER,UBER,"14,049,967"
UBER,UBER,UBER,"5,899,045"
UBER,UBER,UBER,"4,827,339"
UBER,UBER,UBER,"13,579,992"
UBER,UBER,UBER,"10,238,382"
UBER,UBER,UBER,"4,178,591"
UBER,UBER,UBER,"14,663,999"
UBER,UBER,UBER,"7,856,499"
UBER,UBER,UBER,"13,222,485"
UBER,UBER,UBER,"3,709,270"
UBER,UBER,UBER,"8,962,215"
UBER,UBER,UBER,"10,704,366"
UBER,UBER,UBER,"13,267,600"
UBER,UBER,UBER,"14,063,243"
UBER,UBER,UBER,"14,582,520"
